Aug 27 11:22:38 Opening RF device...
Aug 27 11:22:38 Opening USRP channels=1, args: type=b200,master_clock_rate=23.04e6
Aug 27 11:22:39 Found CELL MHz, 3500.0,  EARFCN, 6600, PHYID, 1, PRB, 50,  ports, 1, PSS power dBm, -8.4,  PSR, 8.0, 2021-08-27 11:22:38:907 
Aug 27 11:22:51 Found CELL MHz, 3500.0,  EARFCN, 6600, PHYID, 1, PRB, 50,  ports, 1, PSS power dBm, -8.2,  PSR, 7.9, 2021-08-27 11:22:51:116 
Aug 27 11:22:53 Found CELL MHz, 3500.0,  EARFCN, 6600, PHYID, 1, PRB, 50,  ports, 1, PSS power dBm, -8.3,  PSR, 6.7, 2021-08-27 11:22:53:015 
Aug 27 11:22:53 Found CELL MHz, 3500.0,  EARFCN, 6600, PHYID, 1, PRB, 50,  ports, 1, PSS power dBm, -8.0,  PSR, 8.0, 2021-08-27 11:22:53:575 
Aug 27 11:22:54 Found CELL MHz, 3500.0,  EARFCN, 6600, PHYID, 1, PRB, 50,  ports, 1, PSS power dBm, -8.1,  PSR, 7.5, 2021-08-27 11:22:53:875 
Aug 27 11:22:54 Found CELL MHz, 3500.0,  EARFCN, 6600, PHYID, 1, PRB, 50,  ports, 1, PSS power dBm, -8.3,  PSR, 5.9, 2021-08-27 11:22:54:284 
Aug 27 11:22:54 Found CELL MHz, 3500.0,  EARFCN, 6600, PHYID, 1, PRB, 50,  ports, 1, PSS power dBm, -8.4,  PSR, 5.4, 2021-08-27 11:22:54:675 
Aug 27 11:22:55 Found CELL MHz, 3500.0,  EARFCN, 6600, PHYID, 1, PRB, 50,  ports, 1, PSS power dBm, -8.2,  PSR, 6.7, 2021-08-27 11:22:54:945 
Aug 27 11:22:56 Found CELL MHz, 3500.0,  EARFCN, 6600, PHYID, 1, PRB, 50,  ports, 1, PSS power dBm, -8.0,  PSR, 6.7, 2021-08-27 11:22:55:654 
Aug 27 11:22:57 Found CELL MHz, 3500.0,  EARFCN, 6600, PHYID, 1, PRB, 50,  ports, 1, PSS power dBm, -8.4,  PSR, 6.8, 2021-08-27 11:22:56:346 
Aug 27 11:22:57 Found CELL MHz, 3500.0,  EARFCN, 6600, PHYID, 1, PRB, 50,  ports, 1, PSS power dBm, -8.5,  PSR, 6.3, 2021-08-27 11:22:57:055 
Aug 27 11:22:57 Found CELL MHz, 3500.0,  EARFCN, 6600, PHYID, 1, PRB, 50,  ports, 1, PSS power dBm, -8.3,  PSR, 6.5, 2021-08-27 11:22:57:346 
Aug 27 11:22:59 Found CELL MHz, 3500.0,  EARFCN, 6600, PHYID, 1, PRB, 50,  ports, 1, PSS power dBm, -8.4,  PSR, 8.2, 2021-08-27 11:22:58:560 
Aug 27 11:22:59 Found CELL MHz, 3500.0,  EARFCN, 6600, PHYID, 1, PRB, 50,  ports, 1, PSS power dBm, -8.3,  PSR, 5.4, 2021-08-27 11:22:59:055 
Aug 27 11:22:59 Found CELL MHz, 3500.0,  EARFCN, 6600, PHYID, 1, PRB, 50,  ports, 1, PSS power dBm, -8.6,  PSR, 6.3, 2021-08-27 11:22:59:325 
Aug 27 11:23:00 Found CELL MHz, 3500.0,  EARFCN, 6600, PHYID, 1, PRB, 50,  ports, 1, PSS power dBm, -8.5,  PSR, 8.8, 2021-08-27 11:23:00:450 
Aug 27 11:23:01 Found CELL MHz, 3500.0,  EARFCN, 6600, PHYID, 1, PRB, 50,  ports, 1, PSS power dBm, -7.9,  PSR, 7.0, 2021-08-27 11:23:00:715 
Aug 27 11:23:04 Found CELL MHz, 3500.0,  EARFCN, 6600, PHYID, 1, PRB, 50,  ports, 1, PSS power dBm, -7.9,  PSR, 7.2, 2021-08-27 11:23:04:044 
Aug 27 11:23:05 Found CELL MHz, 3500.0,  EARFCN, 6600, PHYID, 1, PRB, 50,  ports, 1, PSS power dBm, -8.4,  PSR, 6.8, 2021-08-27 11:23:04:385 
Aug 27 11:23:05 Found CELL MHz, 3500.0,  EARFCN, 6600, PHYID, 1, PRB, 50,  ports, 1, PSS power dBm, -8.1,  PSR, 6.2, 2021-08-27 11:23:05:025 
Aug 27 11:23:05 Found CELL MHz, 3500.0,  EARFCN, 6600, PHYID, 1, PRB, 50,  ports, 1, PSS power dBm, -8.3,  PSR, 6.8, 2021-08-27 11:23:05:483 
Aug 27 11:23:06 Found CELL MHz, 3500.0,  EARFCN, 6600, PHYID, 1, PRB, 50,  ports, 1, PSS power dBm, -8.6,  PSR, 5.5, 2021-08-27 11:23:05:815 
Aug 27 11:23:06 Found CELL MHz, 3500.0,  EARFCN, 6600, PHYID, 1, PRB, 50,  ports, 1, PSS power dBm, -7.9,  PSR, 8.2, 2021-08-27 11:23:06:324 
Aug 27 11:23:07 Found CELL MHz, 3500.0,  EARFCN, 6600, PHYID, 1, PRB, 50,  ports, 1, PSS power dBm, -7.9,  PSR, 5.9, 2021-08-27 11:23:06:635 
Aug 27 11:23:08 Found CELL MHz, 3500.0,  EARFCN, 6600, PHYID, 1, PRB, 50,  ports, 1, PSS power dBm, -8.3,  PSR, 8.4, 2021-08-27 11:23:07:979 
Aug 27 11:23:09 Found CELL MHz, 3500.0,  EARFCN, 6600, PHYID, 1, PRB, 50,  ports, 1, PSS power dBm, -8.6,  PSR, 8.4, 2021-08-27 11:23:09:000 
Aug 27 11:23:10 Found CELL MHz, 3500.0,  EARFCN, 6600, PHYID, 1, PRB, 50,  ports, 1, PSS power dBm, -8.0,  PSR, 7.7, 2021-08-27 11:23:09:605 
Aug 27 11:23:10 Found CELL MHz, 3500.0,  EARFCN, 6600, PHYID, 1, PRB, 50,  ports, 1, PSS power dBm, -8.4,  PSR, 5.3, 2021-08-27 11:23:10:335 
Aug 27 11:23:11 Found CELL MHz, 3500.0,  EARFCN, 6600, PHYID, 1, PRB, 50,  ports, 1, PSS power dBm, -7.8,  PSR, 9.1, 2021-08-27 11:23:11:480 
Aug 27 11:23:12 Found CELL MHz, 3500.0,  EARFCN, 6600, PHYID, 1, PRB, 50,  ports, 1, PSS power dBm, -8.1,  PSR, 4.8, 2021-08-27 11:23:11:746 
Aug 27 11:23:13 Found CELL MHz, 3500.0,  EARFCN, 6600, PHYID, 1, PRB, 50,  ports, 1, PSS power dBm, -8.2,  PSR, 8.6, 2021-08-27 11:23:12:870 
Aug 27 11:23:13 Found CELL MHz, 3500.0,  EARFCN, 6600, PHYID, 1, PRB, 50,  ports, 1, PSS power dBm, -8.1,  PSR, 7.8, 2021-08-27 11:23:13:135 
Aug 27 11:23:13 Found CELL MHz, 3500.0,  EARFCN, 6600, PHYID, 1, PRB, 50,  ports, 1, PSS power dBm, -8.4,  PSR, 6.4, 2021-08-27 11:23:13:604 
Aug 27 11:23:14 Found CELL MHz, 3500.0,  EARFCN, 6600, PHYID, 1, PRB, 50,  ports, 1, PSS power dBm, -8.0,  PSR, 7.8, 2021-08-27 11:23:13:875 
Aug 27 11:23:14 Found CELL MHz, 3500.0,  EARFCN, 6600, PHYID, 1, PRB, 50,  ports, 1, PSS power dBm, -7.8,  PSR, 7.7, 2021-08-27 11:23:14:194 
Aug 27 11:23:14 Found CELL MHz, 3500.0,  EARFCN, 6600, PHYID, 1, PRB, 50,  ports, 1, PSS power dBm, -8.2,  PSR, 6.4, 2021-08-27 11:23:14:585 
Aug 27 11:23:15 Found CELL MHz, 3500.0,  EARFCN, 6600, PHYID, 1, PRB, 50,  ports, 1, PSS power dBm, -8.0,  PSR, 7.4, 2021-08-27 11:23:14:855 
Aug 27 11:23:15 Found CELL MHz, 3500.0,  EARFCN, 6600, PHYID, 1, PRB, 50,  ports, 1, PSS power dBm, -7.8,  PSR, 7.8, 2021-08-27 11:23:15:305 
Aug 27 11:23:16 Found CELL MHz, 3500.0,  EARFCN, 6600, PHYID, 1, PRB, 50,  ports, 1, PSS power dBm, -9.8,  PSR, 8.0, 2021-08-27 11:23:16:580 
Aug 27 11:23:17 Found CELL MHz, 3500.0,  EARFCN, 6600, PHYID, 1, PRB, 50,  ports, 1, PSS power dBm, -10.7,  PSR, 6.9, 2021-08-27 11:23:16:845 
Aug 27 11:23:17 Found CELL MHz, 3500.0,  EARFCN, 6600, PHYID, 1, PRB, 50,  ports, 1, PSS power dBm, -14.6,  PSR, 8.8, 2021-08-27 11:23:17:365 
Aug 27 11:23:18 Found CELL MHz, 3500.0,  EARFCN, 6600, PHYID, 1, PRB, 50,  ports, 1, PSS power dBm, -11.7,  PSR, 6.2, 2021-08-27 11:23:17:965 
Aug 27 11:23:19 Found CELL MHz, 3500.0,  EARFCN, 6600, PHYID, 1, PRB, 50,  ports, 1, PSS power dBm, -12.0,  PSR, 6.1, 2021-08-27 11:23:18:605 
Aug 27 11:23:20 Found CELL MHz, 3500.0,  EARFCN, 6600, PHYID, 1, PRB, 50,  ports, 1, PSS power dBm, -12.2,  PSR, 6.9, 2021-08-27 11:23:19:305 
Aug 27 11:23:21 Found CELL MHz, 3500.0,  EARFCN, 6600, PHYID, 1, PRB, 50,  ports, 1, PSS power dBm, -19.6,  PSR, 6.5, 2021-08-27 11:23:20:797 
Aug 27 11:23:22 Found CELL MHz, 3500.0,  EARFCN, 6600, PHYID, 1, PRB, 50,  ports, 1, PSS power dBm, -16.5,  PSR, 6.2, 2021-08-27 11:23:21:065 
Aug 27 11:23:23 Found CELL MHz, 3500.0,  EARFCN, 6600, PHYID, 1, PRB, 50,  ports, 1, PSS power dBm, -23.0,  PSR, 5.1, 2021-08-27 11:23:23:060 
Aug 27 11:23:23 Found CELL MHz, 3500.0,  EARFCN, 6600, PHYID, 1, PRB, 50,  ports, 1, PSS power dBm, -16.8,  PSR, 5.5, 2021-08-27 11:23:23:694 
Aug 27 11:23:24 Found CELL MHz, 3500.0,  EARFCN, 6600, PHYID, 1, PRB, 50,  ports, 1, PSS power dBm, -18.2,  PSR, 6.0, 2021-08-27 11:23:23:964 
Aug 27 11:23:24 Found CELL MHz, 3500.0,  EARFCN, 6600, PHYID, 1, PRB, 50,  ports, 1, PSS power dBm, -29.1,  PSR, 2.0, 2021-08-27 11:23:24:235 
Aug 27 11:23:24 Found CELL MHz, 3500.0,  EARFCN, 6600, PHYID, 1, PRB, 50,  ports, 1, PSS power dBm, -24.1,  PSR, 2.2, 2021-08-27 11:23:24:494 
Aug 27 11:23:26 Found CELL MHz, 3500.0,  EARFCN, 6600, PHYID, 1, PRB, 50,  ports, 1, PSS power dBm, -20.9,  PSR, 2.1, 2021-08-27 11:23:25:658 
Aug 27 11:23:26 Found CELL MHz, 3500.0,  EARFCN, 6600, PHYID, 1, PRB, 50,  ports, 1, PSS power dBm, -15.7,  PSR, 5.9, 2021-08-27 11:23:26:294 
Aug 27 11:23:27 Found CELL MHz, 3500.0,  EARFCN, 6600, PHYID, 1, PRB, 50,  ports, 1, PSS power dBm, -14.0,  PSR, 6.1, 2021-08-27 11:23:26:564 
Aug 27 11:23:28 Found CELL MHz, 3500.0,  EARFCN, 6600, PHYID, 1, PRB, 50,  ports, 1, PSS power dBm, -20.2,  PSR, 3.9, 2021-08-27 11:23:28:647 
Aug 27 11:23:29 Found CELL MHz, 3500.0,  EARFCN, 6600, PHYID, 1, PRB, 50,  ports, 1, PSS power dBm, -16.1,  PSR, 4.5, 2021-08-27 11:23:29:067 
Aug 27 11:23:29 Found CELL MHz, 3500.0,  EARFCN, 6600, PHYID, 1, PRB, 50,  ports, 1, PSS power dBm, -23.7,  PSR, 3.6, 2021-08-27 11:23:29:266 
Aug 27 11:23:30 Found CELL MHz, 3500.0,  EARFCN, 6600, PHYID, 1, PRB, 50,  ports, 1, PSS power dBm, -22.1,  PSR, 5.1, 2021-08-27 11:23:29:685 
Aug 27 11:23:30 Found CELL MHz, 3500.0,  EARFCN, 6600, PHYID, 1, PRB, 50,  ports, 1, PSS power dBm, -21.3,  PSR, 3.0, 2021-08-27 11:23:30:255 
Aug 27 11:23:31 Found CELL MHz, 3500.0,  EARFCN, 6600, PHYID, 1, PRB, 50,  ports, 1, PSS power dBm, -25.8,  PSR, 3.3, 2021-08-27 11:23:31:360 
Aug 27 11:23:32 Found CELL MHz, 3500.0,  EARFCN, 6600, PHYID, 1, PRB, 50,  ports, 1, PSS power dBm, -20.3,  PSR, 3.7, 2021-08-27 11:23:31:735 
Aug 27 11:23:32 Found CELL MHz, 3500.0,  EARFCN, 6600, PHYID, 1, PRB, 50,  ports, 1, PSS power dBm, -18.7,  PSR, 6.4, 2021-08-27 11:23:32:005 
Aug 27 11:23:32 Found CELL MHz, 3500.0,  EARFCN, 6600, PHYID, 1, PRB, 50,  ports, 1, PSS power dBm, -20.0,  PSR, 6.1, 2021-08-27 11:23:32:526 
Aug 27 11:23:33 Found CELL MHz, 3500.0,  EARFCN, 6600, PHYID, 1, PRB, 50,  ports, 1, PSS power dBm, -22.7,  PSR, 4.5, 2021-08-27 11:23:33:137 
Aug 27 11:23:33 Found CELL MHz, 3500.0,  EARFCN, 6600, PHYID, 1, PRB, 50,  ports, 1, PSS power dBm, -17.9,  PSR, 6.1, 2021-08-27 11:23:33:305 
Aug 27 11:23:33 Found CELL MHz, 3500.0,  EARFCN, 6600, PHYID, 1, PRB, 50,  ports, 1, PSS power dBm, -24.9,  PSR, 2.1, 2021-08-27 11:23:33:575 
Aug 27 11:23:34 Found CELL MHz, 3500.0,  EARFCN, 6600, PHYID, 1, PRB, 50,  ports, 1, PSS power dBm, -21.2,  PSR, 6.6, 2021-08-27 11:23:33:834 
Aug 27 11:23:34 Found CELL MHz, 3500.0,  EARFCN, 6600, PHYID, 1, PRB, 50,  ports, 1, PSS power dBm, -14.5,  PSR, 8.0, 2021-08-27 11:23:34:115 
Aug 27 11:23:35 Found CELL MHz, 3500.0,  EARFCN, 6600, PHYID, 1, PRB, 50,  ports, 1, PSS power dBm, -25.7,  PSR, 2.1, 2021-08-27 11:23:34:995 
Aug 27 11:23:35 Found CELL MHz, 3500.0,  EARFCN, 6600, PHYID, 1, PRB, 50,  ports, 1, PSS power dBm, -17.9,  PSR, 3.7, 2021-08-27 11:23:35:507 
Aug 27 11:23:35 Found CELL MHz, 3500.0,  EARFCN, 6600, PHYID, 1, PRB, 50,  ports, 1, PSS power dBm, -21.2,  PSR, 3.9, 2021-08-27 11:23:35:684 
Aug 27 11:23:36 Found CELL MHz, 3500.0,  EARFCN, 6600, PHYID, 1, PRB, 50,  ports, 1, PSS power dBm, -21.8,  PSR, 6.0, 2021-08-27 11:23:35:964 
Aug 27 11:23:37 Found CELL MHz, 3500.0,  EARFCN, 6600, PHYID, 1, PRB, 50,  ports, 1, PSS power dBm, -19.8,  PSR, 5.4, 2021-08-27 11:23:36:845 
Aug 27 11:23:37 Found CELL MHz, 3500.0,  EARFCN, 6600, PHYID, 1, PRB, 50,  ports, 1, PSS power dBm, -17.0,  PSR, 6.8, 2021-08-27 11:23:37:715 
Aug 27 11:23:38 Found CELL MHz, 3500.0,  EARFCN, 6600, PHYID, 1, PRB, 50,  ports, 1, PSS power dBm, -17.3,  PSR, 6.1, 2021-08-27 11:23:37:985 
Aug 27 11:23:38 Found CELL MHz, 3500.0,  EARFCN, 6600, PHYID, 1, PRB, 50,  ports, 1, PSS power dBm, -16.0,  PSR, 6.7, 2021-08-27 11:23:38:254 
Aug 27 11:23:38 Found CELL MHz, 3500.0,  EARFCN, 6600, PHYID, 1, PRB, 50,  ports, 1, PSS power dBm, -14.9,  PSR, 7.3, 2021-08-27 11:23:38:524 
Aug 27 11:23:39 Found CELL MHz, 3500.0,  EARFCN, 6600, PHYID, 1, PRB, 50,  ports, 1, PSS power dBm, -15.9,  PSR, 5.6, 2021-08-27 11:23:38:795 
Aug 27 11:23:39 Found CELL MHz, 3500.0,  EARFCN, 6600, PHYID, 1, PRB, 50,  ports, 1, PSS power dBm, -16.4,  PSR, 7.3, 2021-08-27 11:23:39:064 
Aug 27 11:23:39 Found CELL MHz, 3500.0,  EARFCN, 6600, PHYID, 1, PRB, 50,  ports, 1, PSS power dBm, -15.4,  PSR, 7.4, 2021-08-27 11:23:39:335 
Aug 27 11:23:39 Found CELL MHz, 3500.0,  EARFCN, 6600, PHYID, 1, PRB, 50,  ports, 1, PSS power dBm, -15.6,  PSR, 5.5, 2021-08-27 11:23:39:604 
Aug 27 11:23:40 Found CELL MHz, 3500.0,  EARFCN, 6600, PHYID, 1, PRB, 50,  ports, 1, PSS power dBm, -21.6,  PSR, 4.2, 2021-08-27 11:23:39:875 
Aug 27 11:23:40 Found CELL MHz, 3500.0,  EARFCN, 6600, PHYID, 1, PRB, 50,  ports, 1, PSS power dBm, -18.3,  PSR, 4.1, 2021-08-27 11:23:40:144 
Aug 27 11:23:41 Found CELL MHz, 3500.0,  EARFCN, 6600, PHYID, 1, PRB, 50,  ports, 1, PSS power dBm, -28.7,  PSR, 2.7, 2021-08-27 11:23:40:415 
Aug 27 11:23:41 Found CELL MHz, 3500.0,  EARFCN, 6600, PHYID, 1, PRB, 50,  ports, 1, PSS power dBm, -22.5,  PSR, 5.5, 2021-08-27 11:23:41:290 
Aug 27 11:23:42 Found CELL MHz, 3500.0,  EARFCN, 6600, PHYID, 1, PRB, 50,  ports, 1, PSS power dBm, -28.7,  PSR, 2.6, 2021-08-27 11:23:41:827 
Aug 27 11:23:42 Found CELL MHz, 3500.0,  EARFCN, 6600, PHYID, 1, PRB, 50,  ports, 1, PSS power dBm, -22.1,  PSR, 6.6, 2021-08-27 11:23:42:024 
Aug 27 11:23:42 Found CELL MHz, 3500.0,  EARFCN, 6600, PHYID, 1, PRB, 50,  ports, 1, PSS power dBm, -19.1,  PSR, 7.4, 2021-08-27 11:23:42:294 
Aug 27 11:23:42 Found CELL MHz, 3500.0,  EARFCN, 6600, PHYID, 1, PRB, 50,  ports, 1, PSS power dBm, -14.8,  PSR, 7.1, 2021-08-27 11:23:42:565 
Aug 27 11:23:43 Found CELL MHz, 3500.0,  EARFCN, 6600, PHYID, 1, PRB, 50,  ports, 1, PSS power dBm, -26.8,  PSR, 3.4, 2021-08-27 11:23:42:834 
Aug 27 11:23:43 Found CELL MHz, 3500.0,  EARFCN, 6600, PHYID, 1, PRB, 50,  ports, 1, PSS power dBm, -17.4,  PSR, 5.4, 2021-08-27 11:23:43:095 
Aug 27 11:23:43 Found CELL MHz, 3500.0,  EARFCN, 6600, PHYID, 1, PRB, 50,  ports, 1, PSS power dBm, -16.7,  PSR, 7.1, 2021-08-27 11:23:43:375 
Aug 27 11:23:46 Found CELL MHz, 3500.0,  EARFCN, 6600, PHYID, 1, PRB, 50,  ports, 1, PSS power dBm, -13.5,  PSR, 7.2, 2021-08-27 11:23:46:627 
Aug 27 11:23:47 Found CELL MHz, 3500.0,  EARFCN, 6600, PHYID, 1, PRB, 50,  ports, 1, PSS power dBm, -20.7,  PSR, 4.6, 2021-08-27 11:23:46:895 
Aug 27 11:23:47 Found CELL MHz, 3500.0,  EARFCN, 6600, PHYID, 1, PRB, 50,  ports, 1, PSS power dBm, -21.7,  PSR, 5.2, 2021-08-27 11:23:47:214 
Aug 27 11:23:48 Found CELL MHz, 3500.0,  EARFCN, 6600, PHYID, 1, PRB, 50,  ports, 1, PSS power dBm, -19.3,  PSR, 4.1, 2021-08-27 11:23:47:484 
Aug 27 11:23:48 Found CELL MHz, 3500.0,  EARFCN, 6600, PHYID, 1, PRB, 50,  ports, 1, PSS power dBm, -18.2,  PSR, 8.0, 2021-08-27 11:23:48:360 
Aug 27 11:23:49 Found CELL MHz, 3500.0,  EARFCN, 6600, PHYID, 1, PRB, 50,  ports, 1, PSS power dBm, -19.9,  PSR, 3.6, 2021-08-27 11:23:48:935 
Aug 27 11:23:49 Found CELL MHz, 3500.0,  EARFCN, 6600, PHYID, 1, PRB, 50,  ports, 1, PSS power dBm, -15.7,  PSR, 5.0, 2021-08-27 11:23:49:104 
Aug 27 11:23:53 Found CELL MHz, 3500.0,  EARFCN, 6600, PHYID, 1, PRB, 50,  ports, 1, PSS power dBm, -14.8,  PSR, 5.2, 2021-08-27 11:23:52:585 
Aug 27 11:23:54 Found CELL MHz, 3500.0,  EARFCN, 6600, PHYID, 1, PRB, 50,  ports, 1, PSS power dBm, -13.5,  PSR, 8.0, 2021-08-27 11:23:53:950 
Aug 27 11:23:54 Found CELL MHz, 3500.0,  EARFCN, 6600, PHYID, 1, PRB, 50,  ports, 1, PSS power dBm, -14.8,  PSR, 6.2, 2021-08-27 11:23:54:606 
Aug 27 11:23:56 Found CELL MHz, 3500.0,  EARFCN, 6600, PHYID, 1, PRB, 50,  ports, 1, PSS power dBm, -18.0,  PSR, 5.8, 2021-08-27 11:23:55:872 
Aug 27 11:23:57 Found CELL MHz, 3500.0,  EARFCN, 6600, PHYID, 1, PRB, 50,  ports, 1, PSS power dBm, -15.3,  PSR, 5.7, 2021-08-27 11:23:56:644 
Aug 27 11:23:57 Found CELL MHz, 3500.0,  EARFCN, 6600, PHYID, 1, PRB, 50,  ports, 1, PSS power dBm, -14.8,  PSR, 6.4, 2021-08-27 11:23:57:274 
